Email,Organiser name,Has signed in,Email confirmed,Auth created,Last sign in,Display name,Hub role,Organiser access at,Organiser email verified,Auth user id
kirsty@kirstyjames.co.uk,"Colony Networking",no,yes,2026-07-26T09:20:18.326368Z,,"Colony Networking","client",2026-07-26T09:20:18.442+00:00,2026-07-26T09:20:18.442+00:00,739d273d-5475-4e16-a552-34b8a16d0dfb
paul@connectsurrey.com,"Connect Surrey",no,yes,2026-07-30T14:07:34.543377Z,,"Connect Surrey","client",2026-07-30T14:07:34.617+00:00,2026-07-30T14:07:34.617+00:00,0bf07f1c-839f-4e92-92bd-cf468412a694
info@connectyorkshire.org,"Connect Yorkshire",no,yes,2026-07-30T14:15:50.692313Z,,"Connect Yorkshire","client",2026-07-30T14:15:50.829+00:00,2026-07-30T14:15:50.829+00:00,bb81802c-2b1c-4520-b4d4-6bf182406697
hello@creativecontent.company,"Creative Content Company",no,yes,2026-07-30T14:23:55.180636Z,,"Creative Content Company","client",2026-07-30T14:23:55.301+00:00,2026-07-30T14:23:55.301+00:00,26356ebb-5ee6-4f84-bca2-936d62ec7cd1
paul@kehorne.co.uk,"Cross Reference Networking",no,yes,2026-07-30T15:12:40.903172Z,,"Cross Reference Networking","client",2026-07-30T15:12:41.032+00:00,2026-07-30T15:12:41.032+00:00,f6971cdb-454c-40e2-bfcb-c98cb77b1320
shwmae@cynnalcymru.com,"Cynnal Cymru",no,yes,2026-07-30T15:18:51.704005Z,,"Cynnal Cymru","client",2026-07-30T15:18:51.816+00:00,2026-07-30T15:18:51.816+00:00,05089177-dd70-4012-a9ca-a701a7327600
hello@dalesbusinesswomen.co.uk,"Dales Business Women",no,yes,2026-07-30T15:21:09.656585Z,,"Dales Business Women","client",2026-07-30T15:21:09.771+00:00,2026-07-30T15:21:09.771+00:00,6c8808af-155f-44f7-a442-834e2e217884
contact@smallbusinessnetwork.ltd,"Denbighshire Small Business Network",no,yes,2026-06-11T14:23:19.488499Z,,"Denbighshire Small Business Network","client",2026-07-08T12:44:00.135141+00:00,2026-07-08T12:44:00.135141+00:00,b1616883-d1b7-4a59-a0f7-f2e00e8041b5
devonwomeninbusiness@gmail.com,"Devon Women in Business",no,yes,2026-07-30T15:26:35.438832Z,,"Devon Women in Business","client",2026-07-30T15:26:35.551+00:00,2026-07-30T15:26:35.551+00:00,b5064c2d-41d0-4620-92fd-bf9c3e128f37
info@directorgolf.com,"Director Golf",no,yes,2026-07-30T15:31:17.989762Z,,"Director Golf","client",2026-07-30T15:31:18.371+00:00,2026-07-30T15:31:18.371+00:00,f1cec02b-8129-41db-8081-7a540b49e11f
info@edinburghbusinesswomensclub.co.uk,"Edinburgh Businesswoman’s Club",no,yes,2026-07-23T18:42:31.887848Z,,"Edinburgh Businesswoman’s Club","client",2026-07-23T18:42:31.986+00:00,2026-07-23T18:42:31.986+00:00,53e52c42-46c4-4539-b897-27669a693a2f
jennie@eventraptor.com,"EventRaptor",no,yes,2026-06-10T14:45:19.948555Z,,"Speaker Connections","client",,,459c29c5-1a57-456e-be56-86603a6ae19f
paul@printdesignteam.co.uk,"Fore Business - Birmingham",no,yes,2026-07-23T21:31:00.954349Z,,"Fore Business - Birmingham","client",2026-07-23T21:31:01.03+00:00,2026-07-23T21:31:01.03+00:00,0e2ab4fe-1b9d-4607-ab57-f6926978de40
rob@businessgrowth-strategies.com,"Fore Business - Bournemouth",no,yes,2026-07-23T21:28:34.837976Z,,"Fore Business - Bournemouth","client",2026-07-23T21:28:34.934+00:00,2026-07-23T21:28:34.934+00:00,ff0d367a-2c93-4307-a8d4-83a299f08c81
quintin@accendoaccountants.co.uk,"Fore Business - Cardiff",no,yes,2026-07-27T09:49:12.614441Z,,"Fore Business - Cardiff","client",2026-07-27T09:49:12.735+00:00,2026-07-27T09:49:12.735+00:00,44291267-5098-4dc1-b476-0e21ff2a7863
martyn@periwinkleproperty.com,"Fore Business - Chester",no,yes,2026-07-23T21:33:15.547705Z,,"Fore Business - Chester","client",2026-07-23T21:33:15.669+00:00,2026-07-23T21:33:15.669+00:00,020b0021-e667-48f9-b799-ae5850702ef7
kevin@root-cause-consultancy.co.uk,"Fore Business - Newcastle",no,yes,2026-07-27T09:52:37.938692Z,,"Fore Business - Newcastle","client",2026-07-27T09:52:38.057+00:00,2026-07-27T09:52:38.057+00:00,62d283fe-4ea2-4742-a212-a45e5c9a0bb9
admin@fifewomeninbusiness.com,"FWB (Fife Women in Business)",no,yes,2026-07-23T18:49:41.786403Z,,"FWB (Fife Women in Business)","client",2026-07-23T18:49:41.9+00:00,2026-07-23T18:49:41.9+00:00,720901c4-1d30-4c24-b5ea-f178960f42b8
secretary@glasgowbusinessclub.co.uk,"Glasgow Business Club",no,yes,2026-07-23T21:36:02.720613Z,,"Glasgow Business Club","client",2026-07-23T21:36:02.828+00:00,2026-07-23T21:36:02.828+00:00,84d5967f-05c6-4f82-8b8a-0995e34b5a2f
hadca@hadca.org.uk,"Harrogate & District Community Action",no,yes,2026-07-30T14:27:37.878009Z,,"Harrogate & District Community Action","client",2026-07-30T14:27:37.977+00:00,2026-07-30T14:27:37.977+00:00,3721557c-90e6-4558-9fc9-54ac347af986
info@hydrogenscotland.com,"Hydrogen Scotland",no,yes,2026-07-27T12:01:25.907397Z,,"Hydrogen Scotland","client",2026-07-27T12:01:26.009+00:00,2026-07-27T12:01:26.009+00:00,bf32f42a-2631-4393-b6f9-010400a88bf6
space@iungo.works,"Iungoworks",no,yes,2026-07-30T15:01:09.350075Z,,"Iungoworks","client",2026-07-30T15:01:09.453+00:00,2026-07-30T15:01:09.453+00:00,b605ace4-f682-4690-8895-549d11120465
secretary@mbwc.org.uk,"Moray Business Women",no,yes,2026-07-23T18:52:35.479009Z,,"Moray Business Women","client",2026-07-23T18:52:35.614+00:00,2026-07-23T18:52:35.614+00:00,f121d433-a6aa-4fea-9c82-3180199d8615
stephanie@networkb2b.co.uk,"Network B2B",no,yes,2026-07-23T21:51:08.322958Z,,"Network B2B","client",2026-07-23T21:51:08.447+00:00,2026-07-23T21:51:08.447+00:00,bc1f2b95-8b36-43af-8550-2ba5458f9191
info@newburybusiness.co.uk,"Newbury Business Group",no,yes,2026-07-23T20:57:29.239744Z,,"Newbury Business Group","client",2026-07-23T20:57:29.358+00:00,2026-07-23T20:57:29.358+00:00,0f0dc08d-18dd-4c69-a768-c55896fbbfcf
hello@progressiveproperty.co.uk,"PPN (Progressive Property Network)",no,yes,2026-07-23T15:24:44.564674Z,,"PPN (Progressive Property Network)","client",2026-07-23T15:24:44.633+00:00,2026-07-23T15:24:44.633+00:00,b817fe8e-a672-44a1-8e47-1df85a824826
kevinmc_donnell@hotmail.com,"PPN (Progressive Property Network) - Blackfriars London",no,yes,2026-07-23T16:46:30.309342Z,,"PPN (Progressive Property Network) - Blackfriars London","client",2026-07-23T16:46:30.415+00:00,2026-07-23T16:46:30.415+00:00,f041420f-83dd-4890-a3fa-c1923c49f20b
leighashbee@progressivepropertynetwork.co.uk,"PPN (Progressive Property Network) - Bournemouth",no,yes,2026-07-23T16:50:09.966884Z,,"PPN (Progressive Property Network) - Bournemouth","client",2026-07-23T16:50:10.041+00:00,2026-07-23T16:50:10.041+00:00,b1948efe-2442-4669-b0b9-eeda2d550267
brentwood@progressivepropertynetwork.co.uk,"PPN (Progressive Property Network) - Brentwood",no,yes,2026-07-23T16:53:04.691143Z,,"PPN (Progressive Property Network) - Brentwood","client",2026-07-23T16:53:04.796+00:00,2026-07-23T16:53:04.796+00:00,71e6d8b2-3028-4c5c-92cc-3e45a0cd85c6
mikechadwick@progressivepropertynetwork.co.uk,"PPN (Progressive Property Network) - South Manchester",no,yes,2026-07-23T15:23:20.225576Z,,"PPN (Progressive Property Network) - South Manchester","client",2026-07-23T15:23:20.316+00:00,2026-07-23T15:23:20.316+00:00,299dfb17-d2b0-49e3-9be4-63dd3e62b74b
hello@propertyandpoppadoms.co.uk,"Property & Poppadoms",no,yes,2026-07-28T16:27:43.191236Z,,"Property & Poppadoms","client",2026-07-28T16:27:43.28+00:00,2026-07-28T16:27:43.28+00:00,bcfbad8a-5604-42b2-bd51-a5805a822f2f
lee@revitalise-connect.com,"Revitalise Networking Club",no,yes,2026-06-10T15:12:53.284548Z,,"Revitalise Networking Club","client",,,5140587b-64ba-42ab-9d64-5d55d2aac32e
chris@smesuccess.co.uk,"SME Success",no,yes,2026-07-28T12:17:13.581475Z,,"SME Success","client",2026-07-28T12:17:13.668+00:00,2026-07-28T12:17:13.668+00:00,5626c572-9eb3-4b3b-840a-6d44d915ce69
aberdeen.events@spe-uk.org,"Society of Petroleum Engineers",no,yes,2026-07-27T11:49:53.188237Z,,"Solutions People Energy","client",2026-07-27T11:49:53.287+00:00,2026-07-27T11:49:53.287+00:00,5a9bdb32-f2c9-4f4d-ac13-6dd6543f699c
support@thebusinessgrowthnetwork.com,"The Business Growth Network",no,yes,2026-07-23T20:31:30.827931Z,,"The Business Growth Network","client",2026-07-23T20:31:30.923+00:00,2026-07-23T20:31:30.923+00:00,b80acf43-ee90-46ac-a9f5-7a8d5676ef9e
simon@business-network.co.uk,"The Business Network - Birmingham",no,yes,2026-07-23T14:27:43.471247Z,,"The Business Network - Birmingham","client",2026-07-23T14:27:43.577+00:00,2026-07-23T14:27:43.577+00:00,a0511f16-df00-47e1-8602-c45ebebdb69a
amy@business-network.co.uk,"The Business Network - South Humberside",no,yes,2026-07-23T14:31:17.626435Z,,"The Business Network - South Humberside","client",2026-07-23T14:31:17.707+00:00,2026-07-23T14:31:17.707+00:00,59ef5ed7-a69a-4cdf-a275-65a0c15694af
nina@nwbn.uk,"The North Wales Business Network",no,yes,2026-07-30T15:04:25.779656Z,,"The North Wales Business Network","client",2026-07-30T15:04:25.892+00:00,2026-07-30T15:04:25.892+00:00,7dd23c0c-e0c2-455f-a25c-fb116722009b
support@therecruitmentnetwork.com,"The Recruitment Network",no,yes,2026-07-27T08:53:22.497294Z,,"The Recruitment Network","client",2026-07-27T08:53:22.621+00:00,2026-07-27T08:53:22.621+00:00,f5fc45f0-ae0a-48f1-bdde-073c045d1a19
hello@mybusinessnetworking.co.uk,"What's My Business",no,yes,2026-06-11T14:31:58.022884Z,,"What's My Business","client",2026-07-08T12:44:00.135141+00:00,2026-07-08T12:44:00.135141+00:00,d44ae27f-d22b-4c85-9fc6-46b4bd714ad8
info@womenahead.co.uk,"Women Ahead Dundee and Angus",no,yes,2026-07-23T19:01:12.033857Z,,"Women Ahead Dundee and Angus","client",2026-07-23T19:01:12.147+00:00,2026-07-23T19:01:12.147+00:00,82f0ed6c-955b-4c04-8220-18b50fbb05ea
info@womeninbusinesshull.co.uk,"Women in Business Hull",no,yes,2026-07-24T07:51:53.799689Z,,"Women in Business Hull","client",2026-07-24T07:51:53.897+00:00,2026-07-24T07:51:53.897+00:00,e9f3e256-9625-424d-8510-9ee8d3c46c8e
susie.sprigg@wibn.co.uk,"Women In Business Network - Altrincham",no,yes,2026-07-23T13:25:16.346436Z,,"Women In Business Network - Altrincham","client",2026-07-23T13:25:16.46+00:00,2026-07-23T13:25:16.46+00:00,083d1882-59f5-444f-8c08-f32505c9f053
louise.yexley@wibn.co.uk,"Women In Business Network - Ampthill & Flitwick Group",no,yes,2026-07-28T17:09:56.122754Z,,"Women In Business Network - Austen National Online Group","client",2026-07-28T17:09:56.233+00:00,2026-07-28T17:09:56.233+00:00,2089ff9f-3682-47aa-a473-609af2aadff5
rachel.gilbert@wibn.co.uk,"Women In Business Network - Billericay & Basildon",no,yes,2026-07-23T13:28:21.76994Z,,"Women In Business Network - Billericay & Basildon","client",2026-07-23T13:28:21.859+00:00,2026-07-23T13:28:21.859+00:00,44b76ed8-d814-4f3a-98c4-3b5bba4d89af
rhianne.mordecai@wibn.co.uk,"Women In Business Network - Caerphilly",no,yes,2026-07-23T13:33:46.315265Z,,"Women In Business Network - Caerphilly","client",2026-07-23T13:33:46.403+00:00,2026-07-23T13:33:46.403+00:00,e67a64f9-7170-4c1d-a59b-0351e4880ae8
vicki.messenger@wibn.co.uk,"Women In Business Network - Marlow",no,yes,2026-07-23T12:59:11.814382Z,,"Women In Business Network - Marlow","client",2026-07-23T12:59:11.928+00:00,2026-07-23T12:59:11.928+00:00,8453efbd-e0e1-4c38-9466-0f89174d1fc6
mary@highlandrural.com,"Women in Property - Highlands & Islands",no,yes,2026-07-23T21:11:27.652299Z,,"Women in Property - Highlands & Islands","client",2026-07-23T21:11:27.771+00:00,2026-07-23T21:11:27.771+00:00,e3d7825c-b582-4cd5-8e79-28ef94d4129b
hannah@pi-sq.co.uk,"Women in Property - Midlands",no,yes,2026-07-23T21:16:46.093612Z,,"Women in Property - Midlands","client",2026-07-23T21:16:46.193+00:00,2026-07-23T21:16:46.193+00:00,a0f084de-c4fb-42c7-914c-6fb52c5d9215
nick@zoconetworking.co.uk,"Zoco Networking Group",no,yes,2026-07-27T13:00:35.356504Z,,"Zoco Networking Group","client",2026-07-27T13:00:35.474+00:00,2026-07-27T13:00:35.474+00:00,dfee0714-1dbb-472e-9cac-dfd3817cfd6f
