email,name,phone
info@middevonnetwork.co.uk,Mid Devon Network,
info@millandbrae.com,BNI - Abbey (BNI (Paisley),014188426970
info@millionairenetworkinsocialclub.com,Millionaire Club,
info@mintbusinessclub.co.uk,Mint Business Club,01207571333
info@mwmg.org,MWMG (Mid Wales Manufacturing Group),01686 628 778
info@nacue.com,National Assocation of College & University Entrepreneurs (NACUE),
info@nationalretrofithub.org.uk,National Retrofit Hub,
info@nbg.co.uk,Network Group,01484 452769
info@nbwn.org,NBWN (National Black Women's Network),07956 902 487
info@newburybusiness.co.uk,Newbury Business Group,01635 812006
info@newportbusinessclub.co.uk,City of Newport Business Club,
info@norfolknetwork.com,Norfolk Network,
info@northeastnetwork.co.uk,North East Network,0191 487 1834
info@nwbc.org.uk,North Wales Business Club,01690 720 321
info@oascotland.org.uk,Officers' Association Scotland,0131 550 1581
info@outbritain.co.uk,Out Britain,0131 376 0665
info@pathway2grow.co.uk,Pathway2Grow (Coffee & Natter),0121 707 0550
info@pbn.org.uk,pbn (Perthshire Businesswomen's Network),0779 2600 054
info@plymouthbusinessnetwork.co.uk,Plymouth Business Network,01752 407774
info@powerfulwomen.org.uk,POWERful Women,
info@priddeymarketing.co.uk,OxfordSTEM.Network,01235 606077
info@procon-nottinghamshire.co.uk,Procon Nottinghamshire,07803 126 807
info@propertyinvestorsnetwork.co.uk,PIN (Property Investors Network),0121 228 2223
info@provnetworking.co.uk,Pro V Networking,07985 104624
info@redditchunited.co.uk,Redditch United Business Club,01527 67450
info@renfrewshirechamber.com,Chamber of trade  - Renfrewshire,
info@ribbons-network.com,Ribbons,
info@risetohealthcoaching.com,Awakened Connections Network,07833784661
info@robinoxford.org.uk,ROBIN (Responsible Oxfordshire Business Involvement Network),
info@rsvipnetwork.co.uk,RSViP Network,0115 9417 548
info@sccci.co.uk,Chamber of trade  - South Cheshire,
info@scrprovidernetwork.co.uk,SYPN Network,
info@sdpscotland.co.uk,HINT (Highlands and Islands Networking Together Group),
info@semla.org.uk,SEMLA,
info@severnbusinessnetwork.co.uk,Severn Business Network,
info@shebusiness.co.uk,She Business,
info@simplybusinessmagazine.co.uk,Simply Business Club,
info@sing4business.co.uk,Sing 4 Business,01785 253329
info@southendpeers.co.uk,Southend Peers,
info@staffordshirechambers.co.uk,Chamber of trade  - Staffordshire,
info@suffolkchamber.co.uk,Chamber of trade  - Suffolk,
info@surrey-chambers.co.uk,Chamber of trade  - Surrey,
info@sussexchamberofcommerce.co.uk,Chamber of trade  - Sussex,
info@sussexcricket.co.uk,Sussex Cricket The Boundary Club,
info@talknetworking.co.uk,Talk Networking,
info@tastebudscollective.co.uk,Tastebuds Collective,
info@techeast.com,Tech East,
info@the-plan-network.co.uk,The Plan Business Networking,
info@theafterworkclub.co.uk,The After Work Club,
info@thebusinessmindet.co.uk,BNI - BNI Cathedral (Northern Ireland),07898765467
info@thecobraclub.co.uk,Cobra Club,07739 950980
info@thecreativecollectivenetworking.co.uk,The Creative Collective,
info@thefarmernetwork.co.uk,The Farmer Network - Cumbria,
info@thefocuscollection.co.uk,Focus Business Club,01777 590 066
info@thegiraffenetwork.co.uk,The Giraffe Network,
info@thegolfconnection.co.uk,The Golf Connection,
info@thehrnetworkem.co.uk,The HR Network,
info@theluxurynetwork.co.uk,The Luxury Network,
info@themidlandsbusinessnetwork.co.uk,Midlands Business Network,01455 290 746
info@thenetwork-group.com,The Network Group,
info@thenorthernaffinity.co.uk,The Northern Affinity,
info@theownersnetwork.co.uk,The Owners' Network (TON),
info@thepottersclub.co.uk,The Potters Club,
info@thetribenetwork.co.uk,The Tribe Network,
info@ukcurryconnect.co.uk,UK Curry Connect,
info@wabf.org.uk,Woking Asian Business Forum,
info@waleshrnetwork.cymru,Waleshrnetwork.cymru,
info@wcnwchamber.org.uk,Chamber of trade  -West Cheshire & North Wales,
info@weareintro.co.uk,LA23NET,07738 414357
info@weybridgenetwork.co.uk,Weybridge Independent Network,
info@wirralchamber.co.uk,Chamber of trade  - Wirral,
info@wnychamber.co.uk,Chamber of trade  - West & North Yorkshire,
info@womenahead.co.uk,Women Ahead Dundee and Angus,
info@womeninhealthcare.co.uk,Women in Healthcare UK,
info@wru.wales,WRU Business Club,
info@yawnmarketing.co.uk,The Marketing Meetup - Norwich,
info@yorbusinessevents.co.uk,YORBusiness,
info@yourpartnerships.co.uk,Your Partnerships,0330 1744155
info@yvonnedenman.net,Genuine Networking,0115 9339 000
information@emc-dnl.co.uk,"Chamber of trade  - East Midlands (Derbyshire, Nottinghamshire, Leicestershire)",
infouk@ashoka.org,Ashoka,
interactnetworking@gmail.com,Interact,07711 916 103
invites@londonfintechs.com,LondonFintechs,0207 566 0044
iod.eastmidlands@iod.com,The Institute of Directors - Derbyshire & Nottinghamshire,
iod.northwest@iod.com,The Institute of Directors - Cheshire,
iod.scotland@iod.com,The Institute of Directors - Aberdeen & Grampian,
iod.south@iod.com,The Institute of Directors - Berkshire,
iod.southwest@iod.com,The Institute of Directors - South West,
iod.westmidlands@iod.com,The Institute of Directors - Black Country & Staffordshire,
iod.yorkshire@iod.com,The Institute of Directors - East Yorkshire,
j.love@gardiner.com,Women in Property - Central Scotland,
jacquedrain@lovebiznetworking.co.uk,LoveBiz Networking Three Spires Community,07881 622 301
jacqueline.rogers@theathenanetwork.com,The Athena Network,
jade.hawksworth@footanstey.com,Women in Property - Solent,
james.bruce@stylesandco.co.uk,Fore Business - Warrington,
james.roper@sjpp.co.uk,Fore Business - Ipswich,
james.weaver@wpa-hcp.org.uk,Fore Business - Cheltenham,
james@scurfieldandassociates.co.uk,Fore Business - Brentwood,
james@thebetterbusiness.network,Better Business Network,0161 504 8914
james@theonle.network,ONLE,
jamie@circlenetworks.co.uk,Circle Networks,07740 610761
jamie@scotsafepropertysolutions.co.uk,BNI - Aberdeen North,01224868951
jane.fillis@harrison-drury.com,Women in Property - Lancashire & Cumbria,
janine@femalebusinessnetwork.co.uk,Female Business Network,07767 880881
jason.yeawood@thebusinessclubs.co.uk,TBC - Cambridgeshire - Sue Ryder Thorpe Hall Hospice Group,
jason@pocketbox.co.uk,BITA - Birmingham,07587 035740
jayson.gurney@darlingtonbusinessclub.co.uk,Darlington Business Club ltd,07835 096932
jeff.tucker@traksolutions.co.uk,Fore Business - Swindon,
jenni@sterlingnetworks.co.uk,Sterling - Gloucestershire,01905 947150 Ext 6
jennie@eventraptor.com,Speaker Connections,
jenny@aspireaccounts.com,Fab Networking Group Atherton (Friends & Business),
jenny@real5networking.com,Real5 Networking - Knowsley,
jfgwells57@gmail.com,The Sun Network,07342 691 768
jill@orbuk.org,ORB - Organisation for Responsible Businesses,01702 468387
jim@nustrategy.co.uk,Club FIVE55,07711 228209
jim@printlord.co.uk,Big Business Breakfast Club - Various Venues,07711 948 990
jim@real5networking.com,Real5 Networking - St Helens,
jimmy.drew@derbyshireccc.com,Derbyshire Cricket Club 1870 Business Club,07896 853027
jo.barber@seeing-social.co.uk,Rebel Meetups (Oxford),07976200546 - text only
jo@howdoesshedoit.life,How Does She Do It,
joanna.price@iod.com,The Institute of Directors - Mid Wales,
joanne.sumner@theathenanetwork.com,The Athena Network,
joanne@joannedewberry.co.uk,Joanne Dewberry,
jodes@platformthirty1.com,Platform Thirty1,
joe@themarketingmeetup.com,The Marketing Meetup,
john@greasley.co.uk,Fore Business - Wolverhampton,
johnyoung@johnyounggroup.co.uk,Fore Business - Edinburgh,
jon@businessconnectpublishing.co.uk,Business Connect,07971 575 977
jonathan@llani.wales,Llanidloes Networking,01686 412 492
jonnyuzumaki@gmail.com,Fore Business - Leicester,
joshua.miles@fsb.org.uk,FSB (Federation of Small Businesses) - Wales,
judith@evimero.ltd,Grow Her Business,077247 11637
julia@bwsltd.co.uk,BWC (Business Women Connections),0141 332 8801
juliecameron@lovebiznetworking.co.uk,LoveBiz Networking Arden Community,07876 113 542
karan.wilson@wibn.co.uk,Women In Business Network - Bury St Edmunds,
karen.durcan@fsb.org.uk,FSB (Federation of Small Businesses),
karen@bncel.co.uk,The Business Network Central & East Lancashire,
karen@bwcaberdeen.co.uk,BWC Aberdeen,
kate.cherry@theathenanetwork.com,The Athena Network - Athena Welwyn-Hatfield,
katherine.vass@wibn.co.uk,Women In Business Network - Canterbury,
katherine@popconnect.net,POP Connect,07563 383303
katherine@screenpop.club,ScreenPop,07563 383 303
kathy.thomas@northern-consortium.org.uk,Northern Housing Consortium,0191 566 1013
katrina@business-buzz.org,Business Buzz - Essex,07962 377249
kay@horncastlerecruitment.co.uk,Horncastle Networking Group (recruitment),01507 211501
keith.griffiths@built-environment-networking.com,UKREiiF (The UK's Real Estate Investment & Infrastructure Forum),
kenkennison@hotmail.com,Fore Business - Croydon,
kent@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Kent,
kenteast@bni.co.uk,BNI -Ashford,
kentwest@bni.co.uk,BNI -BNI Conversion - Kent West,
kevin.attwell@bwmltd.org,Fore Business - Chigwell,
kevin@root-cause-consultancy.co.uk,Fore Business - Newcastle,
kevinmc_donnell@hotmail.com,PPN (Progressive Property Network) - Blackfriars London,
kevinmcdonnell@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Sheffield,
kimmi@melbournbusinessassociation.com,Melbourn Business Association,07976 228 377
kirsty@colonynetworking.co.uk,Colony Networking,0844 504 6627
kirsty@va4mums.co.uk,Networking 4 Mums,07763226051
lancs-nw@bni.co.uk,BNI - Eden Business Network - Lancashire North West,
lc@londonchamber.co.uk,Chamber of trade  - London,
leamingtonspa@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Leamington Spa,
lee@revitalise-connect.com,Revitalise Networking Club,07855173078
leedsjld@outlook.com,LJLD (Leeds Junior Lawyers Division),
leicestershire@business-buzz.org,Business Buzz - Leicestershire & Rutland,
leigh@leighkadooka.com,Empower Biz Network,001 808-351-5477
leighashbee@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Bournemouth,
lesley@networking4essex.co.uk,Networking 4 Essex Women (NEW),
linda@leadershipglobal.com,LeadHerShip Global,00 1 865-850-5485
lindsay.mcloughlin@theathenanetwork.com,The Athena Network,
linsey.luke@fsb.org.uk,FSB (Federation of Small Businesses),07917 628 921
lisa.thomas@parkerandrews.co.uk,Ladies Lunch Plymouth,
lisa@lkpersonaltraining.co.uk,Women In Business Network - Hampstead,
liverpool@bni.co.uk,BNI -BNI Lima - Liverpool,
liverpool@progresspropertynetwork.co.uk,PPN (Progressive Property Network) - Liverpool,
liverpoolsouth@real5networking.com,Real5 Networking - Liverpool South,07815 906 785
liz@totalbusinessnetwork.com,Total Business Network,
london@business-buzz.org,Business Buzz - London,07962 377249
london@cbi.org.uk,The Confederation of British Industry  - London,020 7379 7200
london@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Central London,
london@iod.com,The Institute of Directors - London,
londoncentral@bni.co.uk,BNI -BNI Central - Central London & The City,
londoneast@bni.co.uk,BNI -BNI Apollo - London East,
londonne@bni.co.uk,BNI -Alliance BNI London NE,
londonse@bni.co.uk,BNI - Rendezvous (Hatch End),
lorraine@arena.org.uk,Arena,07803 853 618
louise.yexley@wibn.co.uk,Women In Business Network - Ampthill & Flitwick Group,07989 020647
louisemonblat@icloud.com,Lyme Business Network,07749 876195
lucy.lloyd@kilsbywilliams.com,SWLBC (South Wales Ladies Business Club),
lwilliams@effcom.co.uk,Cardiff Breakfast Club,029 20 838 310
lynne@bwsltd.co.uk,Business Women Connections,07771 787646
m.emery@birmingham-chamber.com,Chambers of Commerce - Greater Birmingham,07983 150723
m.lockett@chamberelancs.co.uk,Chamber of trade  - East Lancashire,
mail@issba.co.uk,ISSBA (Ipswich & Suffolk Small Business Association),07810 370 141
mail@londonhr.org,London HR Connection,
mail@northernirelandchamber.com,Chamber of Trade Northern Ireland -Chamber of Trade,
mail@richardpavey.co.uk,Promise for Business,078106 47308
mailus@talkbusiness.com,Women Talk Business,
manchester@bni.co.uk,BNI -Alchemy BNI (Didsbury),
manchester@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Manchester,
mandi@gatwickdiamondbusiness.com,Gatwick Diamond Business,07921 092696
mandie@mandieholgate.co.uk,INsiders,07989 935 556
mandie@thebusinesswomansnetwork.co.uk,The Business Woman's Network,07989 935556
mandy@mybeautifulpen.uk,Fab Networking,07919 051 737
mansfield@sueford-networking.co.uk,Sue Ford Networking,
marc@emjayconsultancy.com,Virtual Power Networking,07906 786505
marcus@artimage.co.uk,BBN (Bay Business Network),
marialawless@signatureassociates.co.uk,BITA - Surrey,07818116029
mark.brown@gbtevents.co.uk,GBT (Golf & Business Network),0161 726 5875
mark@hotseathangout.com,Fore Business - Leatherhead,
mark@real5networking.com,Real5 Networking - Warrington East,07860 830 300
marti@weebitsocial.com,Wee Bit Social,
martyn@periwinkleproperty.com,Fore Business - Chester,
mary@highlandrural.com,Women in Property - Highlands & Islands,
matt@real5networking.com,Real5 Networking - Mersey Gateway,
matthew.robinson@brewin.co.uk,Leicester Hotshots,
mawcommitteeni@gmail.com,MAW (Mums at Work Network),
media@enterprisenation.com,Enterprise Nation,020 3871 2922
meetings@wednesdayclub.org.uk,Wednesday Club,
mel@yorkshireladieslinks.co.uk,Yorkshire Ladies Links,0780 1072222
melissa@real5networking.com,Real5 Networking - Wirral,
memberrelations@iod.com,The Institute of Directors - Hampshire & Isle of Wight,
members@peppercorn.biz,Peppercorn Speed Networking,07840 502 509
membership@homehouse.co.uk,Home House,020 7670 2000
membership@iod.com,The Institute of Directors,
membership@ipse.co.uk,IPSE (The Association of Independent Professionals),020 8897 9970
membership@liverpoolchamber.org.uk,Chamber of trade  - Liverpool,
membership@scci.org.uk,Chamber of trade  - Sheffield,
membership@somerset-chamber.co.uk,Chamber of trade  - Somerset,
membership@theconduit.com,The Conduit,
merseyside@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Merseyside,
mia.mulquin@fsb.org.uk,FSB London Bootcamp  Spring Into Success,07584228257
michael.chisholm@scottishfa.co.uk,Scottish FA Business Club,
michael.duale@sjpp.co.uk,Fore Business - Norwich,
michael@askmjs.co.uk,Fore Business - Leeds,
michael@freshwalks.co.uk,Fresh Walks,
michael@fusedhealthandsafety.co.uk,Fore Business - Preston,
michael@melvincreative.co.uk,The Association,
michelle@imsinternet.co.uk,The Empowering Entrepreneur,
michelleullyott@lovebiznetworking.co.uk,LoveBiz Networking Leger Saint Don Community,07720 261 416
midlands@cbi.org.uk,The Confederation of British Industry  - Midlands - Birmingham,
midlands@cipr.co.uk,Chartered Institute of Public Relations - Midlands,
mike.orchard@hotmail.com,Fore Business - Swanley,
mikechadwick@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - South Manchester,
miltonkeynes@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Milton Keynes,
mk@business-buzz.org,Business Buzz - Buckinghamshire,01767 222 631
mojogee@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Leeds,
mummyonabreak@outlook.com,YaaMas Networking,
natalie@whitcombehr.co.uk,BITA - Kent,07587 035740
neil.eames@fsb.org.uk,FSB (Federation of Small Businesses) - East of England,
neil@businessgrowthclub.net,Business Growth Club,07973 205720
network@cornerstone-northants.org,Cornerstone,07599 027 565
networking@iwant2network.com,I Want 2 Network,020 7096 3923
neurotech4health@gmail.com,Fore Business - West Bromwich,
nick.searle@finecal.co.uk,Fore Business - Taunton,
nick@progressint.com,Fore Business - Goodwood,
nick@zoconetworking.co.uk,Zoco Networking Group,07966 444693
nicki.burgess@lbhf.gov.uk,H&F (Hammersmith & Fulham),
nicky.brock@carterjonas.co.uk,Women in Property - Thames Valley,
nicky@thegrowthcommunity.co.uk,The Growth Community,0333 220 3080
nifo@agcc.co.uk,Chamber of trade  - Aberdeen,
nigel@bforb.co.uk,BforB Networking Clubs,0330 118 8980
norfolk@bni.co.uk,BNI -Ambition Norwich,
north.west@cbi.org.uk,The Confederation of British Industry  - North West,
northamptonshire@business-buzz.org,Business Buzz - Northamptonshire,
northeast@bni.co.uk,BNI -Affinity BNI - Northumbria,
northeast@institute-of-fundraising.org.uk,Chartered Institute of Fundraising - North East,
northern.ireland@cbi.org.uk,The Confederation of British Industry  -Northern Ireland,
northernireland@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) -Northern Ireland,
northlancs@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - North Lancashire,
northofscotland@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - North of Scotland,
northumberland@thefarmernetwork.co.uk,The Farmer Network - Northumberland,
northumbria@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Northumbria,
northwales@bni.co.uk,BNI - Spectrum - North Wales,
northwest@bni.co.uk,BNI -BNI Alpha - Liverpool,
northwest@institute-of-fundraising.org.uk,Chartered Institute of Fundraising - North West,
norwichkittynetworking@gmail.com,Norwich Kitty Business Networking Group,07947 363672
notiesnw2015@gmail.com,No Ties Networking,
office@buylocalnorfolk.org.uk,Buy Local Norfolk,01362 760006
office@cardiffbusinessclub.org,Cardiff Business Club,07713 817905
office@generationsworkingtogether.org,Generations Working Together,0141 559 5024
office@youthscotland.org.uk,Youth Scotland,
operations@wibf.org.uk,WIBF (Women in Banking & Finance),
owc@humber-marine-renewables.co.uk,Humber Marine Renewables,01482 485 271
oxford@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Oxford,
oxfordshire@bni.co.uk,BNI -Academy (Oxford),
oxfordshire@business-buzz.org,Business Buzz - Oxfordshire,
p.heathcote@theyorkshiresociety.og,The Yorkshire Society,
pa.joannesumner@theathenanetwork.com,The Athena Network,
pandc@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Peterborough & Cambridge,
paul.beck@appliedls.co.uk,Chiltern Business Connections,01494 899 796
paul.davies@debtcol.co.uk,Fore Business - Southampton,
paul.lawton@business-matching.co.uk,BMUK,0800 2524 008
paul.livingstone@nof.co.uk,NOF,0191 384 6464
paul.williams@secureinheritance.co.uk,Fore Business - Liverpool,
paul@bita.ie,BITA - London,07587 035740
paul@bnidorset.co.uk,BNI Dorset,
paul@buscomm.co.uk,The Business Community,07949 703137
paul@connectsurrey.com,Connect Surrey,07799 888388
paul@dermodyowen.co.uk,Fore Business - Nottingham,
paul@insanetech.net,BNI Pioneer Online,
paul@kehorne.co.uk,Cross Reference Networking,0770 893 4479
paul@newheritageinteriors.co.uk,Fore Business - Witney,
paul@printdesignteam.co.uk,Fore Business - Birmingham,
paul@uscita.co.uk,Fore Business - Knutsford,
paulsmith@bni.com,BNI Marina,
peter.hudson62@yahoo.com,Fore Business - Welwyn Garden City,
peter.warr2@battbroadbent.co.uk,Fore Business - Bath,
peterborough@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Peterborough,
pfitzsimmons@wilfordsmith.com,BNI Fusion Warrington,
phil.pugh@business-matching.co.uk,BMUK,
philgchappell60@gmail.com,Fore Business - Reading,
philip@hysons.co.uk,Fore Business - Basingstoke & Newbury,
pjb@boltonservices.co.uk,The Aylesbury Group (TAG),
president@abw.org.uk,ABW (Ayrshire Business Women),07368 848 762
president@asb-scotland.org,ASB (Association of Scottish Business Women),01343 890306
press@cips.org,CIPS (Chartered Institute of Procurement & Supply),
preston@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Preston & Fylde,
publicrelations@womeninproperty.org.uk,Women in Property,
quintin@accendoaccountants.co.uk,Fore Business - Cardiff,
rachael@engage5.co.uk,Women in Property - North West,
rachel.gilbert@wibn.co.uk,Women In Business Network - Billericay & Basildon,
rachelholmes@harrisevolution.com,Women in Property - South West,
rebecca@getaheadva.com,Get Connected,01483 332220
reception@devonchamber.co.uk,Chamber of trade  - Devon,
request@leadingedgebusiness.co.uk,Leading Edge Business Networking,
requisition@swan.io,SWAN,
rhianne.mordecai@wibn.co.uk,Women In Business Network - Caerphilly,
rhiannon.peploe-williams@blakemorgan.co.uk,Women in Property - South Wales,
rich@hmbiz.co.uk,Herefordshire Means Business,01432 620024
richard@nexcen.co.uk,Fore Business - Bristol,
richardssue351@gmail.com,KCC Networking,07815 914844
rob.cornford@mytrustedwills.co.uk,Fore Business - Leamington Spa,
rob@businessgrowth-strategies.com,Fore Business - Bournemouth,
robin@rcla.co.uk,Fore Business - Benfleet (South Essex),
rose@gen-e-networking.com,Gen-e-Networking,
rosemary@scottishpanetwork.com,Scottish PA Network,
rosie.diver@wibn.co.uk,Women In Business Network - Chester,
ru.howard@wibn.co.uk,Women In Business Network - Bolton,
russellt@sbn.scot,Scottish Business Network,07920 008187
ruth@wibn.co.uk,Women In Business Network,
s.noble@electrofitsolutions.org,UNO - BNI Dunstable,
sage.kuo@mygwork.com,myGwork,07873689146
sales@esgnetwork.co.uk,ESG Network,0207 566 0044
sales@omnilocalbusinessnetworking.com,The Omni Business Development Network,07898 870 870
salesmanager@thedartmouthhotel.co.uk,Fore Business - Dartmouth,
sam.beesley@sjpp.co.uk,Fore Business - Bedford,
sam.thomas@countybusinessclubs.co.uk,County Business Clubs,01323 819007
sam@conex-portal.co.uk,ConeX Portal Ltd,07773 033856
sam@sam-networking.co.uk,SAM Networking Ltd,07963253878
samantha.lawton@wibn.co.uk,Women In Business Network - Chiswick,
samra@nottinghamwomenscentre.com,Nottinghamshire Women's Centre,0115 941 1475
samturton@bni.com,BNI South Wales,
sara@4nonline.biz,4N Online,07971 346241
sarah@asandwhenadmin.co.uk,She's The Business,
sben@staffordshire.gov.uk,SBEN (Staffordshire Business & Environment Network),01785 277 379
scotland@cbi.org.uk,The Confederation of British Industry  - Scotland,
scotlandnorth@bni.co.uk,BNI - Energy (Aberdeen),
sean.mcneill@offshoresolar.co.uk,BITA - South West (Devon),07587 035740
sean@fore-business.com,Fore Business,01256 486999
sean@simplymagic.co.uk,BNI The Mighty Nelson,
sean@trustedbusinesscommunity.com,Trusted Business Community,07507 258671
secretary@exeterbusinessclub.co.uk,Exeter Business Club,
secretary@glasgowbusinessclub.co.uk,Glasgow Business Club,07703732136
secretary@mbwc.org.uk,Moray Business Women,
secretary@standrewsbusinessclub.co.uk,St Andrews Business Club,
shai@virtuallythere.co,BNI - Thomas Telford (Telford),
sharon@womensbusinessnetwork.co.uk,Womens Business Network Limited,07976 457278
sharon@yaba.uk.com,yaba (Yorkshire Asia Business Association),
shropshire@bni.co.uk,"BNI - Nova (Newport, Telford)",
shwmae@cynnalcymru.com,Cynnal Cymru,029 2294 0810
sigriddekaste@gmail.com,Global Virtual Networking LIVE on LinkedIn,061414626729
simon.edmondson@business-network.co.uk,The Business Network - Chester,0776 493 428
simon.millar@albanwiseinsurance.co.uk,Monopoly Network,
simon@bni.com,BNI  - Head Office,01923 891992
simon@business-network.co.uk,The Business Network - Birmingham,
simon@knibbs.co.uk,TC (Trusted Contacts),
simon@thechw.co.uk,Connect & Collaborate (Telford),01952454391
smalik@yorkshirenetwork.co.uk,Yorkshire Enterprise Network,
smallbizbigchat@gmail.com,Small Biz Big Chat,
socialmedia@harrogatebusinessgroup.com,Harrogate Business Group,
somerset@bni.co.uk,BNI -BNI Concorde - Somerset,
south.wales@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - South Wales,
south.west@cbi.org.uk,The Confederation of British Industry  - South West,
southlakes@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - South Lakes,
southlondon@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - South London,
southofengland@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - South of England,
southwest@bni.co.uk,BNI -BNI Parade (Bath),
southwest@institute-of-fundraising.org.uk,Chartered Institute of Fundraising - South West,
southyorkshire@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - South Yorkshire,
stephanie@networkb2b.co.uk,Network B2B,0191 300 9050
stephen@motivationmatters.co.uk,Expert Circles Global,01787378851
steve@4nonline.biz,4N Online,0345 1234 444
steve@cagedfish.co.uk,Working Breakfast,
steve@customer-journey.io,Fore Business - Ormskirk,
steve@holezerogolf.co.uk,Fore Business - Doncaster,
steve@steveball-recruitment.co.uk,Fore Business - Hull,
steve@topmarquesuniforms.co.uk,N4B (Networking4breakfast),01787 313 000
stevenjinnes@hbhy.co.uk,Fore Business - Aberdeen,
stratford@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Stratford London,
sue@catchdesigns.co.uk,Thirsty Thursday,
suecrooks@lovebiznetworking.co.uk,LoveBiz Networking Impact Executive,07505 847 807
suffolk@bni.co.uk,BNI -BNI Legend - Suffolk,
suffolktechnetwork@gmail.com,ISTN (Ipswich & Suffolk Tech Network),
sukdosanjh1@gmail.com,Women in Property - South East,
support@1networking.biz,1N,0345 862 5011
support@afvbc.com,AFVBC (Armed Forces & Veterans Breakfast Clubs),07392180903
support@bni.com,BNI South Wales,
support@close-focus.co.uk,BNI - BNI Erimus (Belfast),02890996299
support@elitebusinessacademy.co.uk,Elite Business Academy,
support@entrepreneurscircle.org,Entrepreneurs Circle,0121 765 5551
support@goconnections.net,Go Connections,07428 959600
surrey@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Surrey & Sussex,
susie.sprigg@wibn.co.uk,Women In Business Network - Altrincham,
susie@zestyproperties.co.uk,Wrexham Property Meet,
sussex_east@bni.co.uk,BNI -1st Eastbourne BNI,
suzie@platinumwave.co.uk,EWIF,07793 054233
suzy@uniqueladies.co.uk,Unique Ladies Networking,
swindon@business-buzz.org,Swindon Buzz,
talktous@thegrowthhub.biz,The Growth Hub,
team@cityladiesnetworking.com,City Ladies Networking,
team@forwardthinking.com,Forward Thinking,01254 427 500
team@networkin.uk,Network In,01785 291 129
team@profusion.live,Profusion,01362 709223
team@theteamnetwork.co.uk,The Team Network,
team@westminsterbc.org.uk,Westminster Business Council,
terry@all1network.com,All 1 Network,07940 830406
thames.valley@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Thames Valley,
thebusinessnestuk@gmail.com,The Business Nest,
themidlands@fsb.org.uk,FSB (Federation of Small Businesses) - East Midlands,
tim.whiston@ismeandco.com,Is Me & CO,
tim@bni-lne.com,BNI Alliance,
tim@collaboratemk.co.uk,Collaborate MK,07786 527845
tim@golfmanagementgroup.co.uk,Fore Business - Watford,
timea.kadar@gmail.com,London Business Society,07946 042941
tina.duggan@bobnetworking.co.uk,BoB Networking,0800 2812829
toastnetworking@gmail.com,Toast Networking,
toby.pawson@conceptvehicleleasing.co.uk,Fore Business - Cobham,
tom@onefoursix.co.uk,Fore Business - Northampton,
tom@themusselclub.co.uk,The Mussel Club,
tom@websir.co.uk,Fore Business - Thame,
toni@quantumvantage.co.uk,Quantum You,07401 149 899
tony@lockfit.co.uk,Fore Business - Shirley,
tony@thebchey.net,The Business Culture HEY,
tori@torideslauriers.com,Women In Business Network - St Albans &amp; Hatfield Group,
tracey.young@ciltuk.org.uk,CILT (Chartered Institute of Logistics and Transport),01536 740 136
tracey@weareinbusiness.co.uk,We are In Business,07551 459545
tracy@b2blunchclub.co.uk,B2B Lunch Club,01603 663300
treehousetribenetworking@gmail.com,Treehouse Tribe Networking,
trevorellse@gmail.com,Fore Business - Canterbury,
val@ladyvalnetwork.biz,Lady Val's Professional Women's Network,07984681013
vicki.messenger@wibn.co.uk,Women In Business Network - Marlow,
vickie@developher.co.uk,DevelopHER,
voice@lbv.co.uk,Leicestershire Business Voice,
wakefield@actioncoach.co.uk,The GrowthNETWORK with ActionCOACH Wakefield Business Coaching,
wales@cbi.org.uk,The Confederation of British Industry  - Wales,
warwickfinancesoc@gmail.com,Warwick Finance Societies,
warwickshire@business-buzz.org,Business Buzz - Warwickshire,
wayne.henderson@me.com,Fore Business - Dundee,
website@birmingham-chamber.com,Asian Business Chamber of Commerce,07971144080
website@blackcountrychamber.co.uk,Chamber of trade  - Black Country,
